Time,Country Name,"Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Population ages 30-34, female [SP.POP.3034.FE]","Population ages 30-34, male [SP.POP.3034.MA]","Population ages 15-19, female [SP.POP.1519.FE]","Population ages 15-19, male [SP.POP.1519.MA]"
2011,Afghanistan,63,60.19,852102,920378,1591572,1688882
2011,Chad,52.759,50.105,347532,350951,672657,679189
2011,Ethiopia,64.244,60.804,2707793,2644985,5078260,5197288
2011,Nigeria,52.12,50.596,5232039,5389034,8172269,8423559
2011,United Arab Emirates,77.957,75.823,317978,1290918,167131,187603
2011,United States,81.1,76.3,10014740,10046221,10817644,11392457
2011,United Kingdom,83,79,2079095,2069727,1926812,2012615
2011,Canada,83.6,79.4,1168266,1165604,1085457,1137832
2011,China,76.926,72.72,45346583,47778615,43589819,48711891
2011,India,68.218,66.115,45700229,49749571,56781169,63720998
2012,Afghanistan,63.514,60.675,890401,960869,1691465,1790617
2012,Chad,53.294,50.579,361508,364619,698383,705169
2012,Ethiopia,65.065,61.534,2840066,2762246,5290166,5417053
2012,Nigeria,52.579,51.019,5379919,5545273,8385168,8646535
2012,United Arab Emirates,78.143,76.022,343973,1274361,171615,196842
2012,United States,81.2,76.4,10131471,10185388,10766790,11309789
2012,United Kingdom,82.8,79.1,2112520,2097584,1912778,1998472
2012,Canada,83.8,79.6,1193166,1190616,1081795,1135604
2012,China,77.284,72.976,44910607,47318930,42237036,47419679
2012,India,68.68,66.488,46813187,51083360,57127076,64169756
2013,Afghanistan,63.999,61.133,931525,1005398,1795834,1896475
2013,Chad,53.777,51.014,376245,379048,725072,732314
2013,Ethiopia,65.783,62.176,2981178,2893637,5493865,5626760
2013,Nigeria,53.042,51.442,5524930,5698076,8622640,8895401
2013,United Arab Emirates,78.325,76.219,370511,1255256,171810,198054
2013,United States,81.2,76.4,10271129,10350982,10668159,11176147
2013,United Kingdom,82.9,79.2,2151684,2130186,1896013,1979872
2013,Canada,83.9,79.7,1221688,1218671,1069108,1125505
2013,China,77.635,73.242,45174558,47605112,41544595,46774576
2013,India,69.106,66.84,47959077,52467777,57512207,64629396
2014,Afghanistan,64.453,61.563,971495,1051656,1894380,1995824
2014,Chad,54.196,51.403,391662,394231,752576,760181
2014,Ethiopia,66.399,62.73,3116661,3025855,5682916,5819341
2014,Nigeria,53.506,51.865,5665744,5845208,8885263,9170973
2014,United Arab Emirates,78.504,76.414,395373,1250690,167752,188428
2014,United States,81.3,76.5,10428976,10540064,10563548,11041137
2014,United Kingdom,83.2,79.5,2192183,2166232,1875722,1957468
2014,Canada,83.9,79.8,1248744,1243696,1049786,1109125
2014,China,77.972,73.517,46228132,48740222,41012789,46288370
2014,India,69.491,67.167,49035007,53773350,57883028,65060949
2015,Afghanistan,64.877,61.965,1008262,1098387,1980573,2081987
2015,Chad,54.552,51.743,407748,410136,780794,788441
2015,Ethiopia,66.926,63.207,3238075,3150998,5852927,5989848
2015,Nigeria,53.967,52.286,5801593,5985693,9170200,9470601
2015,United Arab Emirates,78.678,76.605,417144,1270149,161208,170731
2015,United States,81.2,76.3,10592859,10740926,10472331,10928437
2015,United Kingdom,82.8,79.2,2229920,2203540,1851307,1931589
2015,Canada,84,79.9,1266875,1257783,1025384,1087471
2015,China,78.288,73.793,48059533,50719414,40332264,45661317
2015,India,69.835,67.468,49976467,54918049,58205670,65438169
2016,Afghanistan,65.275,62.343,1043138,1138998,2045061,2150687
2016,Chad,54.856,52.041,423469,425497,808575,815195
2016,Ethiopia,67.378,63.622,3340192,3262328,6000030,6132118
